code,x0,depth,norm_rank,subtree_size
A04AD12,36.214493,5.0,1.0,0.0
A04AD13,35.29389,5.0,1.0,0.0
A04AD14,34.45019,5.0,1.0,0.0
A04AD51,35.296795,5.0,1.0,0.0
A04AD54,35.60698,5.0,1.0,0.0
A05,39.92946,2.0,0.4,29.0
A05A,41.18467,3.0,0.6,16.0
A05AA,40.434326,4.0,0.8,5.0
A05AA01,40.55631,5.0,1.0,0.0
A05AA02,40.903214,5.0,1.0,0.0
A05AA03,39.67552,5.0,1.0,0.0
A05AA04,40.132927,5.0,1.0,0.0
A05AA05,40.548447,5.0,1.0,0.0
A05AB,36.48798,4.0,0.8,1.0
A05AB01,36.33507,5.0,1.0,0.0
A05AX,41.47017,4.0,0.8,7.0
A05AX01,41.59481,5.0,1.0,0.0
A05AX02,40.603836,5.0,1.0,0.0
A05AX03,41.421658,5.0,1.0,0.0
A05AX04,41.066025,5.0,1.0,0.0
A05AX05,40.637638,5.0,1.0,0.0
A05AX06,40.76949,5.0,1.0,0.0
A05AX07,42.508095,5.0,1.0,0.0
A05B,41.062805,3.0,0.6,10.0
A05BA,41.0353,4.0,0.8,9.0
A05BA01,40.89691,5.0,1.0,0.0
A05BA03,40.94398,5.0,1.0,0.0
A05BA04,40.04233,5.0,1.0,0.0
A05BA05,41.090744,5.0,1.0,0.0
A05BA06,40.83775,5.0,1.0,0.0
A05BA07,39.783195,5.0,1.0,0.0
A05BA08,41.29137,5.0,1.0,0.0
A05BA09,40.380634,5.0,1.0,0.0
A05BA10,41.380527,5.0,1.0,0.0
A05C,37.28097,3.0,1.0,0.0
A06,34.32548,2.0,0.4,77.0
A06A,34.144146,3.0,0.6,76.0
A06AA,43.994404,4.0,0.8,3.0
A06AA01,43.76921,5.0,1.0,0.0
A06AA02,43.71788,5.0,1.0,0.0
A06AA51,44.053722,5.0,1.0,0.0
A06AB,48.934776,4.0,0.8,16.0
A06AB01,46.58736,5.0,1.0,0.0
A06AB02,44.441826,5.0,1.0,0.0
