dosage2,sales_units,n_rows,n_products,n_dosages,n_dosage2_values,n_brands,n_markets,n_quarters
TTZ CMB-PK CRM VAG,4921906.0,240,3,1,1,4,5,48
VPA N-H USE VIALS,4889245.0,336,5,1,1,7,4,48
KDG SWEETS+BONBON,4252675.0,336,7,1,1,4,3,48
FNJ P-F MAN SLF IJ,3780507.0,2112,2,1,1,15,18,48
DGZ OTH C-PCK LIQS,3530851.0,192,4,1,1,4,3,48
MMB TOP/EX.DRY AMP,3413718.0,720,1,1,1,11,13,48
VSB N-H USE PASTES,3241534.0,240,4,1,1,4,2,48
MCV TOPICAL CAPS,3202016.0,432,5,1,1,7,4,48
TYY OTH SPEC FORMS,3192210.0,288,4,1,1,5,2,48
MZC GAUZE W/O SUB,2493133.0,528,4,1,1,10,2,48
VWC GAUZE W SUBST,2067120.0,48,1,1,1,1,1,48
ACZ COMBI-PCK CAPS,2041679.0,624,11,1,1,13,8,48
TYT FOAM VAGINAL,1921851.0,288,4,1,1,6,4,48
FMZ C-PACK AMPS,1853881.0,96,2,1,1,2,2,48
MNF TOP I D PF SYR,1823551.0,2400,3,1,1,37,14,48
DGY OTH LIQUIDS.,1640171.0,144,2,1,1,2,3,48
MPS TOP.INSTL.VIAL,1531064.0,1104,6,1,1,19,14,48
IEP N SYS U-D PWDR,1523744.0,48,1,1,1,1,1,48
MMS INSTILLAT AMP.,1349821.0,144,2,1,1,3,2,48
MWE TAMPONS W SUB,1345036.0,192,4,1,1,3,1,48
ZEA UNKNOWN POWDER,1333220.0,144,2,1,1,3,3,48
AYH FOOD NOT READY,1181047.0,1680,1,1,1,27,12,48
VTA N-H USE CREAMS,1134000.0,96,2,1,1,2,2,48
GME AMPS S.C.RET,1074796.0,192,3,1,1,4,3,48
NGP OPHTH M-D LIQ,949418.0,96,2,1,1,1,1,48
JSN SYS U-DOS OINT,940873.0,96,2,1,1,2,2,48
NZT OPHT.DIAG.STCK,806600.0,96,1,1,1,2,2,48
BDY RET.SPEC.SOLID,801430.0,192,2,1,1,4,3,48
NDN OCULAR SYSTEMS,797178.0,336,4,1,1,6,3,48
FPZ C-PCK VIAL,784625.0,192,3,1,1,4,2,48
HSN R SYS U-D OINT,783400.0,48,1,1,1,1,1,48
VEA N-H USE PWDERS,726710.0,384,6,1,1,7,4,48
MZJ TISS ABS M-AID,713518.0,960,4,1,1,18,9,48
KGK O.T.SUSPENSION,698073.0,384,2,1,1,4,7,48
KDD O.TOP PELLETS,674760.0,48,1,1,1,1,1,48
MPF TOP I D VIALS,650535.0,1440,4,1,1,17,19,48
KTZ O.T. C/PK CRM,627742.0,240,3,1,1,2,2,48
MAK TOP.SOLUB.TABS,615890.0,48,1,1,1,1,1,48
VGN N-HUM U-D LIQ,573148.0,672,5,1,1,13,4,48
MEB GRANULES N.O.S,529590.0,96,2,1,1,2,2,48
EGM RETARD SYRUP,488300.0,96,2,1,1,2,2,48
MEX ENEMA POWDERS,484889.0,48,1,1,1,1,1,48
ZYX PROMOTIONAL PK,475923.0,336,7,1,1,6,5,48
KAH O.T. EFF TABS,451830.0,96,1,1,1,2,1,48
DKB TEA EXTRACT,411962.0,288,5,1,1,5,4,48
MSZ COMB-PCK OINTS,400449.0,96,2,1,1,2,2,48
MJY OTHER BATHS,379757.0,96,2,1,1,2,2,48
GNY OTH P-F SYR RT,311921.0,144,1,1,1,3,3,48
MVZ CMB-PK GEL/SOL,281058.0,384,6,1,1,7,5,48
